skill,period,forecast_demand
Python,2025-05-01,553.5239695027776
Python,2025-06-01,552.8222447650181
Python,2025-07-01,552.143156309122
Python,2025-08-01,551.4414315713625
Python,2025-09-01,550.7397068336031
Python,2025-10-01,550.0606183777069
Python,2025-11-01,549.3588936399475
Python,2025-12-01,548.6798051840512
Python,2026-01-01,547.9780804462919
Python,2026-02-01,547.2763557085325
Python,2026-03-01,546.6425398163626
Python,2026-04-01,545.9408150786032
Python,2026-05-01,545.261726622707
Python,2026-06-01,544.5600018849476
Python,2026-07-01,543.8809134290514
Python,2026-08-01,543.179188691292
Python,2026-09-01,542.4774639535325
Python,2026-10-01,541.7983754976364
SQL,2025-05-01,425.91801720395574
SQL,2025-06-01,425.14178037200634
SQL,2025-07-01,424.3905834378617
SQL,2025-08-01,423.6143466059123
SQL,2025-09-01,422.8381097739629
SQL,2025-10-01,422.08691283981835
SQL,2025-11-01,421.31067600786895
SQL,2025-12-01,420.5594790737244
SQL,2026-01-01,419.783242241775
SQL,2026-02-01,419.0070054098256
SQL,2026-03-01,418.30588827129066
SQL,2026-04-01,417.52965143934125
SQL,2026-05-01,416.77845450519663
SQL,2026-06-01,416.00221767324723
SQL,2026-07-01,415.2510207391026
SQL,2026-08-01,414.4747839071532
SQL,2026-09-01,413.6985470752038
SQL,2026-10-01,412.9473501410593
TensorFlow,2025-05-01,375.14307208793076
TensorFlow,2025-06-01,374.27477754379004
TensorFlow,2025-07-01,373.4344925010731
TensorFlow,2025-08-01,372.5661979569324
TensorFlow,2025-09-01,371.6979034127917
TensorFlow,2025-10-01,370.8576183700748
TensorFlow,2025-11-01,369.9893238259341
TensorFlow,2025-12-01,369.14903878321724
TensorFlow,2026-01-01,368.2807442390765
TensorFlow,2026-02-01,367.41244969493573
TensorFlow,2026-03-01,366.6281836550667
TensorFlow,2026-04-01,365.75988911092594
TensorFlow,2026-05-01,364.9196040682091
TensorFlow,2026-06-01,364.05130952406836
TensorFlow,2026-07-01,363.2110244813515
TensorFlow,2026-08-01,362.3427299372108
TensorFlow,2026-09-01,361.47443539307
TensorFlow,2026-10-01,360.6341503503532
Kubernetes,2025-05-01,376.0
Kubernetes,2025-06-01,376.0
Kubernetes,2025-07-01,376.0
Kubernetes,2025-08-01,376.0
Kubernetes,2025-09-01,376.0
Kubernetes,2025-10-01,376.0
Kubernetes,2025-11-01,376.0
Kubernetes,2025-12-01,376.0
Kubernetes,2026-01-01,376.0
Kubernetes,2026-02-01,376.0
Kubernetes,2026-03-01,376.0
Kubernetes,2026-04-01,376.0
Kubernetes,2026-05-01,376.0
Kubernetes,2026-06-01,376.0
Kubernetes,2026-07-01,376.0
Kubernetes,2026-08-01,376.0
Kubernetes,2026-09-01,376.0
Kubernetes,2026-10-01,376.0
PyTorch,2025-05-01,328.0
PyTorch,2025-06-01,328.0
PyTorch,2025-07-01,328.0
PyTorch,2025-08-01,328.0
PyTorch,2025-09-01,328.0
PyTorch,2025-10-01,328.0
PyTorch,2025-11-01,328.0
PyTorch,2025-12-01,328.0
PyTorch,2026-01-01,328.0
PyTorch,2026-02-01,328.0
PyTorch,2026-03-01,328.0
PyTorch,2026-04-01,328.0
PyTorch,2026-05-01,328.0
PyTorch,2026-06-01,328.0
PyTorch,2026-07-01,328.0
PyTorch,2026-08-01,328.0
PyTorch,2026-09-01,328.0
PyTorch,2026-10-01,328.0
Scala,2025-05-01,341.9173563478183
Scala,2025-06-01,341.38162571518177
Scala,2025-07-01,340.8631767158561
Scala,2025-08-01,340.32744608321957
Scala,2025-09-01,339.791715450583
Scala,2025-10-01,339.2732664512573
Scala,2025-11-01,338.7375358186208
Scala,2025-12-01,338.2190868192951
Scala,2026-01-01,337.68335618665856
Scala,2026-02-01,337.14762555402206
Scala,2026-03-01,336.6637398213181
Scala,2026-04-01,336.1280091886815
Scala,2026-05-01,335.6095601893559
Scala,2026-06-01,335.0738295567193
Scala,2026-07-01,334.5553805573936
Scala,2026-08-01,334.0196499247571
Scala,2026-09-01,333.48391929212056
Scala,2026-10-01,332.96547029279486
Linux,2025-05-01,304.6000105723251
Linux,2025-06-01,308.1168291836759
Linux,2025-07-01,308.1168291836759
Linux,2025-08-01,308.1168291836759
Linux,2025-09-01,308.1168291836759
Linux,2025-10-01,308.1168291836759
Linux,2025-11-01,308.1168291836759
Linux,2025-12-01,308.1168291836759
