,AWS,Azure,Computer Vision,Data Visualization,Deep Learning,Docker,GCP,Git,Hadoop,Java,Kubernetes,Linux,MLOps,Mathematics,NLP,PyTorch,Python,R,SQL,Scala,Spark,Statistics,Tableau,TensorFlow
AWS,3862,975,1005,975,944,873,1071,1074,1009,1122,1294,1134,944,864,923,1227,1819,1066,1519,1225,963,799,1022,1348
Azure,975,3972,1051,1049,1013,834,1099,1102,1040,1189,1367,1178,950,870,970,1243,1927,1033,1567,1290,1000,803,1103,1381
Computer Vision,1005,1051,4235,1072,1062,910,1203,1273,1178,1262,1462,1330,966,918,1011,1339,2084,1179,1630,1304,1075,872,1101,1428
Data Visualization,975,1049,1072,4189,965,903,1156,1230,1122,1232,1452,1250,1051,849,979,1278,2031,1100,1631,1320,1076,826,1110,1405
Deep Learning,944,1013,1062,965,3970,890,1074,1184,1103,1216,1388,1217,950,871,918,1269,1921,1071,1492,1244,978,841,1030,1374
Docker,873,834,910,903,890,3533,980,1023,997,992,1265,1017,857,790,844,1108,1695,949,1284,1086,855,755,934,1189
GCP,1071,1099,1203,1156,1074,980,4479,1301,1211,1333,1574,1313,1067,1038,1118,1425,2123,1208,1766,1470,1140,916,1202,1487
Git,1074,1102,1273,1230,1184,1023,1301,4699,1278,1416,1608,1422,1142,1041,1154,1468,2256,1287,1781,1456,1211,993,1255,1557
Hadoop,1009,1040,1178,1122,1103,997,1211,1278,4372,1242,1479,1303,1033,999,1059,1349,2134,1163,1712,1357,1100,961,1147,1455
Java,1122,1189,1262,1232,1216,992,1333,1416,1242,4716,1543,1391,1166,1099,1176,1486,2117,1418,1816,1506,1142,982,1249,1573
Kubernetes,1294,1367,1462,1452,1388,1265,1574,1608,1479,1543,5485,1633,1346,1268,1407,1668,2574,1434,2082,1753,1393,1219,1475,1794
Linux,1134,1178,1330,1250,1217,1017,1313,1422,1303,1391,1633,4871,1176,1132,1178,1522,2330,1319,1873,1525,1216,1046,1327,1652
MLOps,944,950,966,1051,950,857,1067,1142,1033,1166,1346,1176,3969,862,919,1258,1947,1101,1520,1245,1028,834,1052,1409
Mathematics,864,870,918,849,871,790,1038,1041,999,1099,1268,1132,862,3637,865,1159,1774,978,1346,1148,897,774,905,1327
NLP,923,970,1011,979,918,844,1118,1154,1059,1176,1407,1178,919,865,3935,1250,1910,1071,1506,1237,1062,765,1019,1323
PyTorch,1227,1243,1339,1278,1269,1108,1425,1468,1349,1486,1668,1522,1258,1159,1250,5085,2064,1338,2197,1527,1304,1109,1361,1937
Python,1819,1927,2084,2031,1921,1695,2123,2256,2134,2117,2574,2330,1947,1774,1910,2064,7633,1920,2693,2403,1979,1670,2101,3232
R,1066,1033,1179,1100,1071,949,1208,1287,1163,1418,1434,1319,1101,978,1071,1338,1920,4338,1769,1311,1065,939,1163,1326
SQL,1519,1567,1630,1631,1492,1284,1766,1781,1712,1816,2082,1873,1520,1346,1506,2197,2693,1769,6126,1837,1537,1305,1642,1946
Scala,1225,1290,1304,1320,1244,1086,1470,1456,1357,1506,1753,1525,1245,1148,1237,1527,2403,1311,1837,5049,1295,1098,1357,1632
Spark,963,1000,1075,1076,978,855,1140,1211,1100,1142,1393,1216,1028,897,1062,1304,1979,1065,1537,1295,4093,926,1085,1383
Statistics,799,803,872,826,841,755,916,993,961,982,1219,1046,834,774,765,1109,1670,939,1305,1098,926,3419,877,1169
Tableau,1022,1103,1101,1110,1030,934,1202,1255,1147,1249,1475,1327,1052,905,1019,1361,2101,1163,1642,1357,1085,877,4317,1467
TensorFlow,1348,1381,1428,1405,1374,1189,1487,1557,1455,1573,1794,1652,1409,1327,1323,1937,3232,1326,1946,1632,1383,1169,1467,5522
